Ascent Label,Ascent ID,Ascent Link,Ascent Type,Ascent Grade,# Ascents,Route Stars,Route Height,Route Name,Route Grade,Route ID,Route Link,Country,Country Link,Crag Name,Crag Link,Crag Path,With,Comment,Quality,Ascent Date,Log Date,Shot,Trip Name,Trip ID,Trip Link
La Divina Colette,3073698402,http://www.thecrag.com/ascent/3073698402,Onsight,6b,1,*,20m,La Divina Colette,6b,26407470,http://www.thecrag.com/route/26407470,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Cami De L'Ermita,,,,2020-02-07T00:00:00Z,2020-02-07T09:17:09Z,,,,
Seca I Meca,3073698417,http://www.thecrag.com/ascent/3073698417,Onsight,6c,1,**,30m,Seca I Meca,6c,26408631,http://www.thecrag.com/route/26408631,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Cami De L'Ermita,,,,2020-02-07T00:00:00Z,2020-02-07T09:17:09Z,,,,
Julia,3073698432,http://www.thecrag.com/ascent/3073698432,Hang dog,7b,3,**,26m,Julia,7b,26408892,http://www.thecrag.com/route/26408892,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Cami De L'Ermita,,,,2020-02-07T00:00:00Z,2020-02-07T09:17:09Z,,,,
O Ara i Mai,3068876805,http://www.thecrag.com/ascent/3068876805,Onsight,6b,1,,10m,O Ara i Mai,6b,2189467329,http://www.thecrag.com/route/2189467329,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Cingles del Molí,,,,2020-02-04T00:00:00Z,2020-02-04T15:43:18Z,,,,
Piastic,3068876790,http://www.thecrag.com/ascent/3068876790,Onsight,6b,1,***,13m,Piastic,6b,26339574,http://www.thecrag.com/route/26339574,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Cingles del Molí,,,,2020-02-04T00:00:00Z,2020-02-04T15:43:18Z,,,,
Delicatessen,3065071737,http://www.thecrag.com/ascent/3065071737,Pink point,6c,1,***,20m,Delicatessen,6c,26350302,http://www.thecrag.com/route/26350302,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Can Torxa,,,,2020-02-02T00:00:00Z,2020-02-02T18:10:41Z,,,,
Freekandó,3065071752,http://www.thecrag.com/ascent/3065071752,Onsight,6b,1,**,20m,Freekandó,6b,26350449,http://www.thecrag.com/route/26350449,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Can Torxa,,,,2020-02-02T00:00:00Z,2020-02-02T18:10:41Z,,,,
El Free Pendó,3065071767,http://www.thecrag.com/ascent/3065071767,Onsight,6b+,1,**,20m,El Free Pendó,6b+,26350608,http://www.thecrag.com/route/26350608,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Can Torxa,,,,2020-02-02T00:00:00Z,2020-02-02T18:10:41Z,,,,
Brigada Txocolata,3065071782,http://www.thecrag.com/ascent/3065071782,Pink point,6c,1,**,20m,Brigada Txocolata,6c,26350755,http://www.thecrag.com/route/26350755,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Can Torxa,,,,2020-02-02T00:00:00Z,2020-02-02T18:10:41Z,,,,
Senyor Esperó,3065071797,http://www.thecrag.com/ascent/3065071797,Onsight,5+,1,*,15m,Senyor Esperó,5+,26350866,http://www.thecrag.com/route/26350866,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Can Torxa,,,,2020-02-02T00:00:00Z,2020-02-02T18:10:41Z,,,,
Setareh,3060679155,http://www.thecrag.com/ascent/3060679155,Red point,6c,1,**,20m,Setareh,6c,415289478,http://www.thecrag.com/route/415289478,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Raco de les Espadelles,,,,2020-01-31T00:00:00Z,2020-01-31T18:21:38Z,,,,
el carasapo,3060678546,http://www.thecrag.com/ascent/3060678546,Hang dog,7b,1,**,,el carasapo,7a+,640708653,http://www.thecrag.com/route/640708653,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Raco de les Espadelles,,,,2020-01-31T00:00:00Z,2020-01-31T18:21:10Z,,,,
Comebolas,3060677430,http://www.thecrag.com/ascent/3060677430,Onsight,6c,1,**,17m,Comebolas,6c,1751404449,http://www.thecrag.com/route/1751404449,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Punta Espadelles,,,,2020-01-31T00:00:00Z,2020-01-31T18:14:22Z,,,,
Aixo no es pot resisti,3059240901,http://www.thecrag.com/ascent/3059240901,Onsight,6b,1,**,,Aixo no es pot resisti,6b,610976871,http://www.thecrag.com/route/610976871,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Punta Espadelles,,,,2020-01-30T00:00:00Z,2020-01-30T20:21:02Z,,,,
A cul petador no li cal doctor,3057931791,http://www.thecrag.com/ascent/3057931791,Onsight,6b,1,,20m,A cul petador no li cal doctor,6b,642322575,http://www.thecrag.com/route/642322575,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Punta Espadelles,,,,2020-01-29T00:00:00Z,2020-01-29T18:43:15Z,,,,
Un peto de marieta,3057931815,http://www.thecrag.com/ascent/3057931815,Onsight,6a+,1,**,20m,Un peto de marieta,6a+,636772074,http://www.thecrag.com/route/636772074,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Punta Espadelles,,,,2020-01-29T00:00:00Z,2020-01-29T18:43:15Z,,,,
Commendatore Paco,3057931830,http://www.thecrag.com/ascent/3057931830,Onsight,6a+,1,**,20m,Commendatore Paco,6a+,638598588,http://www.thecrag.com/route/638598588,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Punta Espadelles,,,,2020-01-29T00:00:00Z,2020-01-29T18:43:15Z,,,,
Ama y Lucky,3057931845,http://www.thecrag.com/ascent/3057931845,Pink point,6c,1,**,20m,Ama y Lucky,6c,610976964,http://www.thecrag.com/route/610976964,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Punta Espadelles,,,,2020-01-29T00:00:00Z,2020-01-29T18:43:15Z,,,,
Al llit al primer crit.,3057931860,http://www.thecrag.com/ascent/3057931860,Pink point,6b,1,**,17m,Al llit al primer crit.,6b,1751404350,http://www.thecrag.com/route/1751404350,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Punta Espadelles,,,,2020-01-29T00:00:00Z,2020-01-29T18:43:15Z,,,,
Gotham City,3044296776,http://www.thecrag.com/ascent/3044296776,Pink point,23,1,***,25m,Gotham City,23,17629873,http://www.thecrag.com/route/17629873,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - NE Mt Zero Range - Golton Rocks - Cave Cliff,,,,2020-01-22T00:00:00Z,2020-01-22T02:30:43Z,,,,
Stepping on Snakes,3044293977,http://www.thecrag.com/ascent/3044293977,Pink point,23,1,**,14m,Stepping on Snakes,23,15059989,http://www.thecrag.com/route/15059989,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Mt Stapylton Campground - Sentinel Cave,,,,2020-01-22T00:00:00Z,2020-01-22T02:29:46Z,,,,
Screaming Barfies,3044293992,http://www.thecrag.com/ascent/3044293992,Pink point,22,1,*,10m,Screaming Barfies,22,15060043,http://www.thecrag.com/route/15060043,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Mt Stapylton Campground - Sentinel Cave,,,,2020-01-22T00:00:00Z,2020-01-22T02:29:46Z,,,,
Dwarf Pumper,3044294007,http://www.thecrag.com/ascent/3044294007,Onsight,20,1,*,8m,Dwarf Pumper,20,15060103,http://www.thecrag.com/route/15060103,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Mt Stapylton Campground - Sentinel Cave,,,,2020-01-22T00:00:00Z,2020-01-22T02:29:46Z,,,,
Weak Boy,3041185875,http://www.thecrag.com/ascent/3041185875,Pink point,26,2,**,12m,Weak Boy,26,14982289,http://www.thecrag.com/route/14982289,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Mt Stapylton Amphitheatre - Spurt Wall,,,,2020-01-20T00:00:00Z,2020-01-20T22:38:24Z,,,,
Weak Boy,3038912715,http://www.thecrag.com/ascent/3038912715,Hang dog,26,2,**,12m,Weak Boy,26,14982289,http://www.thecrag.com/route/14982289,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Mt Stapylton Amphitheatre - Spurt Wall,,,,2020-01-20T00:00:00Z,2020-01-20T08:38:01Z,,,,
Lake Thelma,3036007689,http://www.thecrag.com/ascent/3036007689,Onsight,21,1,*,18m,Lake Thelma,21,15058003,http://www.thecrag.com/route/15058003,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Pohlner Track & Smith's Rd Area - The Ravine,,,,2020-01-19T00:00:00Z,2020-01-19T05:32:02Z,,,,
Try Land,3036007704,http://www.thecrag.com/ascent/3036007704,Onsight,20,1,**,17m,Try Land,20,15057949,http://www.thecrag.com/route/15057949,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Pohlner Track & Smith's Rd Area - The Ravine,,,,2020-01-19T00:00:00Z,2020-01-19T05:32:02Z,,,,
Pains Ford,3036007719,http://www.thecrag.com/ascent/3036007719,Onsight,19,1,**,18m,Pains Ford,19,15057895,http://www.thecrag.com/route/15057895,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Pohlner Track & Smith's Rd Area - The Ravine,,,,2020-01-19T00:00:00Z,2020-01-19T05:32:02Z,,,,
Waterfall Bogans,3036007734,http://www.thecrag.com/ascent/3036007734,Onsight,19,1,*,18m,Waterfall Bogans,19,15058117,http://www.thecrag.com/route/15058117,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Pohlner Track & Smith's Rd Area - The Ravine,,,,2020-01-19T00:00:00Z,2020-01-19T05:32:02Z,,,,
Hey Youse,3036007749,http://www.thecrag.com/ascent/3036007749,Onsight,18,1,*,18m,Hey Youse,18,15057655,http://www.thecrag.com/route/15057655,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Pohlner Track & Smith's Rd Area - The Ravine,,,,2020-01-19T00:00:00Z,2020-01-19T05:32:02Z,,,,
Gaybarry,3036007644,http://www.thecrag.com/ascent/3036007644,Onsight,18,1,*,20m,Gaybarry,18,804055377,http://www.thecrag.com/route/804055377,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Pohlner Track & Smith's Rd Area - The Ravine,,,,2020-01-19T00:00:00Z,2020-01-19T05:32:02Z,,,,
Glue Mountains,3036007659,http://www.thecrag.com/ascent/3036007659,Onsight,18,1,*,20m,Glue Mountains,18,15058327,http://www.thecrag.com/route/15058327,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Pohlner Track & Smith's Rd Area - The Ravine,,,,2020-01-19T00:00:00Z,2020-01-19T05:32:02Z,,,,
Brush with Authority,3036007674,http://www.thecrag.com/ascent/3036007674,Onsight,21,1,*,15m,Brush with Authority,21,15058063,http://www.thecrag.com/route/15058063,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Pohlner Track & Smith's Rd Area - The Ravine,,,,2020-01-19T00:00:00Z,2020-01-19T05:32:02Z,,,,
Watchtower Crack,3032617416,http://www.thecrag.com/ascent/3032617416,Red point,16,2,***,95m,Watchtower Crack,16,12939583,http://www.thecrag.com/route/12939583,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - The Watchtower Faces - Right Watchtower Face,,,,2020-01-17T00:00:00Z,2020-01-17T03:41:26Z,,,,
Libretto,3031511676,http://www.thecrag.com/ascent/3031511676,Second clean,16,1,**,50m,Libretto,16,12879439,http://www.thecrag.com/route/12879439,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Organ Pipes Area - Organ Pipes - D Major Pipe,,,,2020-01-16T00:00:00Z,2020-01-16T09:45:13Z,,,,
